
System Name,System ID,Level,Warp Range,Warp Range (Superhighway),Faction ID
Helvetios,1172806400,18,13,13,-1
Helvi Alpha,1427204258,20,20,20,-1
Helvi Beta,813801255,20,20,20,-1
Hemaj - Solo,223061248,50,0,0,-1
Henzyyr,394417568,61,900,900,-1
HerchenmoH,1873397812,63,1100,1100,4153667145
Herias,189590910,18,13,13,-1
Hessen,79930,1,5,5,-1
Het'Tenz'A,1769281385,45,110,110,4153667145
Hig'Qar,576725635,38,39,39,4153667145
Hilltara,1476365148,40,60,60,2064723306
Hilo,1532693080,46,120,120,-1
Hinsava - Solo,1785249531,45,0,0,-1
Hobu,1097586444,46,100,100,-1
Hoeven,399469984,27,19,19,4153667145
Holles,1702244411,43,75,75,2064723306
Hollin,1141805901,44,27,27,-1
Holst,1678201101,64,1200,1200,2064723306
Honsao,81641,10,5,5,-1
Hoobishan Alpha,80157902,30,20,20,-1
Hoobishan Beta,1237248535,30,20,20,-1
Horalius,1889984114,46,170,170,-1
Horden - Mirror,1133692929,50,0,0,-1
Horgi,2131166635,52,230,230,669838839
Horlus,1741382740,1,5,5,-1
Hornebolte,1963489097,46,120,120,2796195869
Hoskk,590740923,32,26,26,3292196998
Hosun,74246,5,5,5,-1
Hox,2033372035,55,240,240,1530685377
Hro'Lug,1173356160,40,64,64,4153667145
Hroga,76604,2,5,5,-1
Hrojost Alpha,937598579,30,20,20,-1
Hrojost Beta,786385013,30,20,20,-1
Huebr,382708415,24,17,17,669838839
Huik,1625240791,41,85,85,-1
Hulman,73238090,52,230,230,-1
Hummingbird,2006215984,50,0,0,-1
Hurgh'maQ,917793981,41,65,65,4153667145
Hutch,903675622,53,255,255,2064723306
Hwanga - Solo,1397132215,45,0,0,-1
Hyland,28429154,42,70,70,2064723306
Hyra,430384067,49,70,70,1530685377
Hyrolaw,1361952964,44,285,285,-1
Hysperia,674194026,40,60,60,-1
Hysperia-2,806479454,40,60,60,-1
H’ganrem,1835140406,18,12,12,-1
Iapedes,1037683376,36,38,38,669838839
Ias,975691590,26,19,19,4153667145
Iaswo,92012030,6,5,5,-1
Idola,1471622656,30,24,24,-1
Idoz,521663356,45,130,130,-1
Idraan,650244730,55,240,240,1530685377
Idran,1641326183,20,25,25,-1
Iekifog,1768514184,37,40,40,-1
Iezat,494468965,29,23,23,-1
Ifrea-3,809451002,32,23,23,2113010081
Ilkis,246737306,70,1200,1200,3522167047
Illuminia,544343995,61,900,900,669838839
Illusys,1285344527,60,900,535,-1
Ilmatar,2110896274,35,25,25,2113010081
Ilnen - Solo,474271651,50,0,0,-1
Imada,193648807,44,105,110,-1
Imgra,81085,10,5,5,-1
Inaara,1795645877,43,75,75,669838839
Inari,472409440,31,26,26,2064723306
Ini'tarash Rest,652910734,38,150,150,-1
Inisfal,1782159884,58,440,440,-1
Injerra,76334,1,5,5,-1
Innlasn Alpha,1324059029,20,20,20,-1
Innlasn Beta,1759962100,20,20,20,-1
Inocula,1850602604,43,75,105,4153667145
Inoss,742843878,50,185,185,4153667145
Intello,1982747368,60,520,520,669838839
Iocau,502974835,22,18,18,2064723306
Iofevan - Solo,1335009864,60,0,0,-1
Ione,1647623234,17,12,12,-1
Iora,74369,2,5,5,-1
Iota Pavonis,1834120811,39,54,54,669838839
Iradrias,398984485,40,120,120,-1
Irryit,1603883393,28,25,25,-1
Isa'day,1684303590,57,400,400,-1
Ishka'du,65046528,56,355,355,-1
Issigeac - Solo,1695744658,60,0,0,-1
Istyna,935197920,6,5,5,-1
Ithaca - Solo,531509277,60,0,0,-1
Itharion Reach,1888529444,60,450,450,3522167047
Ithmiris,902745117,43,100,100,3522167047
Iufapaf - Solo,1769462586,60,0,0,-1
Iusum,1217863325,37,75,75,-1
Ivannak - Solo,1701371083,45,0,0,-1
Izanagi,613539990,32,26,26,669838839
Izanami,520305106,23,20,20,-1
Izbel,71088,1,1,1,-1
Izbrig,524480027,45,100,100,-1
Izra,572641347,39,40,40,1530685377
Izth,1566236961,26,19,19,4153667145
Ja'Corash,166663079,40,64,64,4153667145
Ja'lana,1053103413,62,1000,1000,669838839
Jabian,1545436852,12,25,25,-1
Jafap - Solo,2017486240,45,0,0,-1
Jaicoo,1244614683,63,1100,1100,-1
Jalothar,2053939192,62,1000,1000,-1
Jamohr,1187390443,60,700,700,-1
Januu,146966413,33,27,27,-1
Jaq,44494918,30,26,26,669838839
Jaslyn,56415189,60,250,250,-1
Jeghar,1190932932,45,49,49,4138978039
Jen'rik,55550488,29,25,25,2064723306
Jenthara Drift,2019452768,52,210,210,3522167047
Jera,1042011878,44,95,95,2064723306
Jeriw - Solo,1053177966,50,0,0,-1
Jettas,1643272578,55,200,200,-1
Jeuaiei,1556190441,25,19,19,669838839
Jeybriol,75693,1,5,5,-1
Jiiny,1975097390,25,0,25,-1
Jinnia,76222,9,5,5,-1
Jishui,1263278966,16,13,13,-1
Jiuac - Solo,1645068213,50,0,0,-1
Jiuu-ra - Elite Solo,1252349238,60,0,0,-1
Jiwu'puH,144549462,36,37,37,4153667145
Jizo,428000719,23,20,20,-1
Jobe,75544,2,5,5,-1
Jodel,74763659,59,520,520,669838839
Johbacor,6713481,60,520,520,4153667145
Johecic - Solo,802299606,50,0,0,-1
Johlan,1449055,51,160,160,-1
Jonauer,1759717590,22,18,18,4153667145
Jorda,829165184,49,160,185,669838839
Jordav - Elite Solo,845405336,45,0,0,-1
Josdelf,1778301956,65,1250,1250,-1
Jovia,823711319,58,425,425,-1
Jovozta,706716589,59,440,440,3292196998
Jublu,891139701,48,160,185,-1
Junid,76335,1,5,5,-1
Juras,1772653175,63,1100,1100,-1
Juseb - Solo,737506726,45,0,0,-1
Juthay,1373643165,60,700,700,1306860549
Juubef - Solo,1845692971,45,0,0,-1
Juuska,1104868829,42,110,110,-1
K'tje,897277926,56,700,700,-1
Ka Ona - Solo,2099100810,45,0,0,-1
Ka'Bi,1090722450,17,15,15,4153667145
Kabiuko,1392972922,35,26,26,-1
Kabrel,1084511738,29,25,25,-1
Kah'spa,4877869,59,520,520,4153667145
Kahon Sigma,626326947,49,160,160,3292196998
Kaikara,1855008555,18,13,13,669838839
Kaisu,1130110336,33,26,26,669838839
Kalak,2123184317,30,25,25,-1
Kalalisko,1658706096,56,355,355,669838839
Kali,1145914262,69,1550,1700,2064723306
Kalla,1006766714,36,38,38,-1
Kallidin,170853502,37,50,50,-1
Kaoacii - Solo,646140176,50,0,0,-1
Karane,908671938,65,1250,1300,-1
Karemma,360543514,41,45,45,1530685377
Karinda,783509908,67,1450,1450,669838839
Karoun,54727721,60,700,700,3292196998
Karppinen,1978471375,36,24,24,-1
Karuna,733898074,35,26,26,-1
Karutiv - Solo,1815609667,60,0,0,-1
Katonda,930153285,6,5,5,-1
Katovug,1025049269,39,48,48,4153667145
Kauko,452560379,6,5,5,-1
Kaus Australis,1154764176,16,13,13,-1
Kaus Borealis,69523071,17,13,13,-1
Kaus Media,1591474708,17,13,13,-1
Kavka,1102480289,33,25,25,-1
Kayla,837224559,46,120,120,-1
Kayojui,451252032,9,8,8,-1
Ke'aks - Elite Solo,1523840118,45,0,0,-1
Kej Bal,1922051606,51,80,80,-1
Kejal,337105505,10,5,5,-1
Kemetja,591257295,30,24,24,-1
Kenakel,719410382,50,195,195,-1
Kendi,562816659,46,27,27,-1
Kenmare - Solo,547343234,50,0,0,-1
Kepler-018,1854874708,20,13,13,-1
Kepp,79931,1,5,5,-1
Kerao,75697,1,5,5,-1
Kertoria,2095233666,34,50,50,-1
Keylali,561194141,61,900,900,2064723306
Khajilat,521673858,37,58,58,-1
Khazara,826167991,39,45,56,669838839
Khic,75018,1,5,5,-1
Khitomer,846029245,23,17,17,4153667145
Kibuka,1740429538,6,5,5,-1
Kiina,2119332338,48,160,185,669838839
Kiju,1068828546,39,80,80,-1
Kildare,350186389,43,75,75,2064723306
Kiley,1480874503,54,335,335,1306860549
Kinatal,898436331,58,600,900,-1
Kithara - Elite Solo,833583816,60,0,0,-1
Kito,78726,9,5,5,-1
Kivif - Solo,1340077643,50,0,0,-1
Kiyratari,448665124,55,320,320,669838839
Kiyu,638923368,38,48,48,-1
Klaiz,266174576,22,15,15,-1
Klatu Nebula,693534889,40,70,70,-1
Klefaski Alpha,1879250507,20,20,20,-1
Klefaski Beta,1137978067,20,20,20,-1
Klopp,563386853,42,75,105,4153667145
Klora,77669,2,5,5,-1
Klos,1386731211,48,160,185,-1
Klosi,557318096,25,20,20,-1
Ko'Stok,858267632,44,105,30,4153667145
Kobali,917428235,35,28,28,-1
Kohl-91 - Solo,1946873957,60,0,0,-1
Kohva,194317526,15,13,13,-1
Kol Ran,395344716,22,15,15,4153667145
Kolava Alpha,1382233658,20,20,20,-1
Kolava Beta,2053970222,20,20,20,-1
Koltiska,72072654,28,19,19,669838839
Konot - Solo,815965506,60,0,0,-1
Kor Ar'Ka,814948003,44,100,100,2064723306
Kor Na Ron,694278480,27,21,21,2113010081
Kora,884588864,36,29,29,-1
Koras-12,763406588,18,25,25,-1
Kordindr,1215894218,42,27,27,-1
Korok,14279376,30,25,25,-1
Korolios Void,1042516104,63,1000,1000,-1
Korzans,552235161,40,56,56,-1
Kosz,937831006,19,13,13,-1
Koteli,986807192,43,75,75,1530685377
Kounsa - Elite Solo,2005703667,60,0,0,-1
Kraatu,1972759016,36,50,50,-1
Krah'Hor,553301075,18,13,13,4153667145
Kraydin Vori,1695810918,48,100,100,-1
Kraylor,1538082703,40,56,56,-1
Krayn,1521873859,68,1500,1500,3292196998
Kre'Tak,1857228856,38,61,56,-1
KreeMaal,82189439,68,1525,1525,4153667145
Kreonta,1720743719,66,1300,1300,-1
Kreteo,1544167937,52,230,230,2064723306
Kri,1035361864,44,105,105,2064723306
Krlakh,1650736433,28,20,20,-1
Kro'vaz,387213732,70,1700,1700,4153667145
Kroci,1376266505,6,5,5,-1
Krokenia,209359904,62,1000,1000,-1
Kronos,1761673303,60,38,38,4153667145
Kryndor,1208199723,44,125,125,3522167047
Kuaec - Solo,1954535197,45,0,0,-1
Kuas-12,1887075428,52,230,230,-1
Kuat,152399226,37,47,47,-1
Kuia-C - Solo,625973837,45,0,0,-1
Kullendi ⇺,689075318,34,27,27,-1
Kunnan,302717382,50,405,460,-1
Kur'than,8006414,56,400,400,4153667145
Kurchee,32478962,41,70,70,2064723306
Kurill,372418396,44,45,45,1530685377
Kus'Rok,1444151784,28,24,24,4153667145
Kuvrak,1417809072,38,61,56,-1
Kuzukoh,2043441660,29,24,24,2143656960
Kyana,1658811084,68,1300,1300,3522167047
Kyanta,1465880298,57,400,400,-1
Kytheris,1813270246,60,800,800,-1
K’amia,1691252927,24,17,17,4153667145
LSP-539,1021100971,47,135,135,-1
Labac,1462287177,17,12,12,-1
Labajos,1425258370,26,25,25,-1
Lagua,832793907,40,0,0,-1
Lahrel,1435801782,24,22,22,-1
Laidcenn,1107520183,17,12,12,-1
Laija,477613271,25,19,19,4153667145
Lainey,840804243,27,25,25,2064723306
Lakeside,1215480272,39,54,56,2064723306
Lanaj,1032390550,37,38,38,-1
Lanasta,386428836,63,1100,1100,669838839
Landi,79416,4,5,5,-1
Lankal,1327645219,39,40,40,4153667145
Lanoitan,76328,1,5,5,-1
Laochra,1190072641,64,1200,1200,3292196998
Laquc,1308919265,62,1000,1000,4153667145
Laramie,75749729,40,24,24,-1
Larix,367373946,40,0,0,-1
Larrios,516430972,38,40,40,-1
Lasek,59776937,59,520,520,2064723306
Later,81623,9,5,5,-1
Laurgatt,74130,4,5,5,-1
Laxos,76341,1,5,5,-1
Laynso,1660252571,45,100,100,-1
Lazon,1787016298,42,65,65,-1
Le'Onor,1058489736,21,18,18,2064723306
Leebyrn,962772086,46,120,120,2064723306
Leichter,1556753534,53,160,160,-1
Lekin-196,1586237489,61,900,900,-1
Lempo,776435049,31,26,26,669838839
Lenara Alpha,203913254,20,20,20,-1
Lenara Beta,1089659533,20,20,20,-1
Leone,1072435433,27,24,24,2143656960
Letoria,1562346472,26,26,26,1306860549
Levesque,1840737360,19,20,20,-1
Levie Minu,1556323027,42,80,80,3292196998
Leyna,877020795,70,1300,1700,2064723306
Leza,667166609,6,5,5,-1
Li,2058224054,17,20,20,-1
Liasoures,1576400451,53,535,535,-1
Lichfield - Mirror,285372380,50,0,0,-1
Lifear,714772837,65,1250,1250,669838839
Lilanei,163435504,36,38,38,669838839
Lindstrom,787960557,40,24,24,-1
Lipas,73561,1,5,5,-1
Lipig,1146804125,31,22,22,4153667145
Lipuiram,1718452095,70,1950,1950,2064723306
Littledove,1145122202,6,5,5,-1
Litzarr,1395184698,55,300,300,-1
Livi,370672521,40,56,56,-1
Lixar,1930126884,35,28,28,4153667145
Liynuk,81618,9,5,5,-1
Llorrac,966644509,21,18,18,669838839
Lloyd,858232932,30,26,26,669838839
Lo'Uren Co,350735951,21,18,18,2064723306
Loaiy,355503878,25,19,19,4153667145
Loch'Grman,750762202,49,160,185,669838839
Lockred,79916,1,5,5,-1
Loduca,1014746060,50,195,195,1306860549
Lodum,282428991,9,8,8,-1
Loiat,1245655537,24,19,19,4153667145
Lomosi,1475425514,47,80,80,-1
Lopie - Solo,1287645323,50,0,0,-1
Lorgar,1057738813,63,1100,1100,4153667145
Lorillia,958423648,18,13,13,2064723306
Lorraine,1377256777,61,900,900,2064723306
Lorthian,828939965,42,70,70,-1
Losti,1511218665,28,19,19,2064723306
Lotch,76340,1,5,5,-1
Lovmet,465559739,40,60,60,-1
Lu'Kash,1575456588,46,120,120,4153667145
Luca,81673,9,5,5,-1
LuchenmoH,1410891692,65,1250,1250,4153667145
Luheez,81592,9,5,5,-1
Lunfa,79933,1,5,5,-1
Luoman,659987486,41,75,75,2064723306
Luponamé,951597912,35,30,30,3292196998
Lycia,1203174739,14,12,12,-1
Lycrus,1083010427,52,230,230,4153667145
Lydan,1680347590,22,17,17,2113010081
Lyklaset,1314755693,52,230,230,669838839
Lymari,272810197,42,40,40,-1
Lyon,1901028317,6,5,5,-1
Lyquan,75698,1,5,5,-1
Lyra,76330,1,5,5,-1
Lyrae Nebula,774501759,55,250,250,-1
Lysis,1325762383,60,120,120,1530685377
Lyssara,1880319880,48,175,175,3522167047
Ma'vak,1139709623,59,500,500,-1
Mab-Bu,1440892372,44,105,105,1306860549
Mackers,83387,9,5,5,-1
Maclyyn,1244441919,22,16,16,4153667145
Mada,1476675021,21,18,18,669838839
Madra,1922414485,16,12,12,-1
Maelruan,903966281,40,60,60,2796195869
Mafra,848285329,30,36,36,1306860549
Maglynn,1040185241,8,5,5,-1
Magnamia,377264362,54,285,285,4153667145
Magnus,2056109997,52,230,230,669838839
Maht-H'A,834590587,44,105,110,4153667145
Majalan,1748121504,15,11,11,-1
Mak'Nino,1907508637,40,56,56,3292196998
Mak'ala Alpha,1849580524,40,20,20,-1
Mak'ala Beta,1981891423,40,20,20,-1
Mak'ala Gamma,1782058055,40,20,20,-1
Mal'Tahn,755562811,38,27,27,-1
Malaba,1272916373,32,26,26,-1
Malaco,265118721,51,185,185,-1
Malon Prime,723648324,55,320,320,-1
Malon Vortex,252485092,35,28,25,-1
Maluria,2876,7,5,5,-1
Manmoor,2026485422,70,1585,1585,-1
Manora,428633592,39,40,40,-1
Mapahon-42 - Solo,87689484,45,0,0,-1
Mapic,1547825221,25,19,19,2064723306
Maq,75690,1,5,5,-1
Mara Eya,1437152822,6,5,5,-1
Maranga,1744652289,25,18,18,-1
Mari,81593,9,5,5,-1
Marzer,29307090,25,20,20,-1
Maumo,1323904862,47,150,150,-1
May'lang,417301799,31,22,22,4153667145
Maya,81669,9,5,5,-1
Mayagrazi,74562,2,5,5,-1
Maynard,78791,1,5,5,-1
Mayush-yush,708173724,45,120,120,-1
Mazai,2143776102,53,320,320,2796195869
McAllister C-5,1511016088,33,26,26,-1
Mectuna,1196560366,65,1250,1300,-1
Medici,1072736201,60,500,500,2796195869
Medua,2028145465,17,12,12,-1
Meedra,660977456,57,525,525,-1
Meera,960405237,60,450,450,3522167047
Megaera,622998673,40,33,33,-1
Megnomis,1595915358,35,35,35,-1
Mehg Torr,850545148,41,75,105,4153667145
Mehruunahd,1092043499,52,240,240,-1
Melllvar,76321,1,5,5,-1
Melvara,74017,5,3,3,-1
Memorium,2095441720,70,1700,900,-1
Memory Alpha,930038909,39,47,47,2064723306
Mempa,739734418,38,39,39,4153667145
Merius,1572939488,53,255,255,-1
Mesadin,1786976742,6,5,5,-1
Metea,1343179689,24,19,19,2064723306
Metra Alpha,575117901,25,18,18,-1
Metra Beta,338251357,25,18,18,-1
Metra Gamma,400016134,25,18,18,-1
Mewudoh,1023784753,25,19,19,669838839
Meygonn,1451679532,53,80,80,1530685377
Mezara,533297349,33,24,24,-1
Michfort,2016095572,46,100,100,-1
Midnight,1017582787,19,12,12,-1
Mielikki,222360364,6,5,5,-1
Miers,1499198978,49,160,185,2064723306
Mige,2139423729,38,24,24,-1
Miita - Solo,1325896982,60,0,0,-1
Mila,1008413774,25,20,20,-1
Milagriean,389995924,67,1400,1400,669838839
Mina,39723580,40,56,56,-1
Minkalal,454496611,38,28,28,-1
Minnea,1608653621,8,5,5,-1
Mira,1925134276,24,20,20,-1
Miranil,1167183428,33,25,25,-1
Mirror Aletara,1719212833,44,120,120,-1
Mirror Alpha Centauri,1687048561,39,50,50,-1
Mirror Altanea,1776591157,50,230,230,-1
Mirror Andoria,1529591223,40,50,50,-1
Mirror Archanis [Extract],1995324069,44,120,50,-1
Mirror Archer,972127194,40,50,50,-1
Mirror Axanar,607346503,40,50,50,-1
Mirror Babel,646853922,51,200,200,-1
Mirror Bajor,675299340,34,50,50,-1
Mirror Barklay,1597044905,61,700,700,-1
Mirror Belak,2078442879,48,175,175,-1
Mirror Beta Paldorios,1139872125,48,175,175,-1
Mirror Beta Penthe,1258505723,58,230,230,-1
Mirror Breen,1322816885,58,230,50,-1
Mirror Cardassia,1896782597,35,50,50,-1
Mirror Carraya [Extract],1315620855,68,800,50,-1
Mirror Cheron,853741050,60,230,230,-1
Mirror Cita Laga,549671526,50,200,200,-1
Mirror D'Deridex [Extract],950666173,47,150,50,-1
Mirror Deneb,312134457,40,75,75,-1
Mirror Deneva,203700300,45,75,75,-1
Mirror Dessica,1301278521,48,125,125,-1
Mirror Dhi'Ban,666428944,50,200,200,-1
Mirror Doloran,22288656,45,75,75,-1
Mirror Ganalda,979056637,45,75,75,-1
Mirror Gya'han,1057632272,70,800,800,-1
Mirror Hann,34561360,44,75,75,-1
Mirror Hoeven [Extract],1475229665,48,125,50,-1
Mirror Inari,304751397,55,200,200,-1
Mirror Kar,886604578,55,230,230,-1
Mirror Khitomer,1797818594,45,150,150,-1
Mirror Klatu Nebula [Extract],1937508383,68,700,50,-1
Mirror Kronos,2099507268,47,120,120,-1
Mirror K’amia,133491608,45,150,150,-1
Mirror Maluria [Extract],591271561,48,125,50,-1
Mirror Morska,771463803,50,125,125,-1
Mirror Nausicaa,1689147920,40,50,75,-1
Mirror Ordesia [Extract],780773496,40,75,50,-1
Mirror Orion,929432095,40,75,75,-1
Mirror P'Jem [Extract],538197195,51,200,50,-1
Mirror Pareleon,929779479,61,700,700,-1
Mirror Rada Ban,1901010066,55,200,200,-1
Mirror Rigel [Extract],421866951,40,75,50,-1
Mirror Romii [Extract],559466032,58,230,50,-1
Mirror Romulus,1784890032,70,800,800,-1
Mirror Sirius,346737553,36,50,50,-1
Mirror Sol,1484582694,35,50,50,-1
Mirror Suliban [Extract],2126891582,55,200,50,-1
Mirror Tau Ceti,1578320633,40,75,75,-1
Mirror Tellun [Extract],459208263,45,75,50,-1
Mirror Terix,790704090,68,800,800,-1
Mirror Thama,886512054,65,700,700,-1
Mirror Tholus,716839726,65,700,700,-1
Mirror Ty'Gokor,804787313,47,150,150,-1
Mirror Unroth,1809404153,47,150,150,-1
Mirror Urthak,1901497420,44,120,120,-1
Mirror Velata,1927973760,60,230,230,-1
Mirror Vendor,64921413,48,175,175,-1
Mirror Vulcan [Extract],2135389091,65,700,50,-1
Mirror Wolf,361934559,36,50,50,-1
Mirror Xindus,1663549811,60,700,700,-1
Mirror Yadow,1695741352,45,150,150,-1
Mirror Yridia,1148302282,48,120,120,-1
Misalup,1525628723,45,225,225,-1
Miset,2147455332,43,90,90,-1
Misneach - Elite Solo,814468843,45,0,0,-1
Mistrare,134069744,63,1100,1100,-1
Mitchum,1217929357,29,24,24,2143656960
Mobhi,1399733336,60,830,830,-1
Mok'Tak,533275603,39,61,56,4153667145
Mokba,204416058,34,32,32,4153667145
Molko,2058575999,54,285,285,3292196998
Mondan-A - Solo,1300058489,45,0,0,-1
Monea,48512084,35,28,28,-1
Mons Mortis,605602410,54,285,285,669838839
Montathu,206554651,60,700,700,3292196998
Montkreat,829824917,63,1100,1100,-1
Mora,2103399630,42,65,65,-1
Moraru - Solo,1273428985,45,0,0,-1
Morass - Mirror,1760966530,50,0,0,-1
Mordus,1790893897,20,20,20,-1
Morska,1057703933,29,20,20,4153667145
Morta-640,1263353647,69,1550,1550,669838839
Morthion,1218697459,56,320,320,-1
Morvani,2134492348,34,32,32,669838839
Moston,1792068830,8,5,5,-1
Moxidar,1676529280,46,135,135,-1
Mril,969433717,36,40,40,1530685377
Muhen,75016,1,5,5,-1
Muhg,1710131408,48,150,150,4153667145
Mulk,79631,2,5,5,-1
Mullins,1790600611,60,520,520,2064723306
Muna 9F - Elite Solo,1085169550,60,0,0,-1
Murasaki 312,1658720101,10,6,6,-1
Murray,1421321800,37,42,42,-1
Mutara,1872190302,32,42,42,1306860549
Myrthian,2014164166,56,280,280,3522167047
Myyric,292565838,27,25,25,-1
Naalur,708767738,44,110,110,669838839
Nabok,1747858074,22,17,17,669838839
Naidu Reach,344501846,53,280,280,3522167047
Nalla,1870344143,49,160,185,4153667145
Nalomas,261184679,28,25,25,-1
Nampara,275015642,69,1600,1600,669838839
Namra,1562269010,47,140,140,-1
Nan Dah - Solo,2064262299,60,0,0,-1
Nant - Elite Solo,1556646897,45,0,0,-1
Napiar ⇺,1742913141,42,27,27,-1
Narendra,255461687,25,17,17,-1
Nasturta,1068815531,26,18,18,669838839
Nausicaa,52,12,8,8,-1
Neara,1028715403,54,700,700,-1
Neboo,62682244,44,95,95,-1
Neco,189926910,44,150,150,-1
Necrocormeum,1764565079,54,285,285,669838839
Neethia,1804848892,30,25,25,-1
Neken,1952086646,51,205,205,-1
Nekosa,950912633,38,40,40,-1
Nelvana,37,32,27,27,669838839
Nelve,83345,12,8,8,-1
Neo'Tek,1919287009,48,160,160,-1
Nequencia,1927134568,38,32,32,669838839
Nerokira,1181687125,60,700,900,-1
Netania-6,1523516790,68,1500,1500,-1
Netron Alpha,101146473,23,20,20,-1
Netron Omega,1656845244,23,20,20,-1
New Berlin,1508317945,42,70,70,-1
New Bombay,1904214863,62,1000,1000,2064723306
New Calgary,1359894210,43,75,75,2064723306
New Canberra,2098471379,44,95,95,2064723306
New Dozaria,659317183,25,20,20,-1
New London,968718350,53,255,255,-1
New Reykjavik,2040695989,48,160,185,2064723306
New Salem,1943060041,66,1375,1375,-1
New Sligo,76325,1,5,5,-1
New Talax,1904794449,45,90,90,-1
New Vulcan,999262121,42,70,70,-1
New Xindus,887642515,34,50,50,-1
Nezha,117053650,38,48,48,-1
Niawillen,955177926,28,22,22,-1
Nibiq,1241882920,38,40,40,-1
Nidox,73559,1,5,5,-1
Nikanko - Elite Solo,1585577963,45,0,0,-1
Nikola,1130586274,41,56,56,-1
Nilkino,1910889934,10,8,8,-1
Nimrith,905365141,52,230,230,-1
Nipaj,113352984,24,19,19,669838839
Nisa,41432892,68,1500,1700,-1
Nitur,2033451721,37,38,38,-1
Nivara,1993152366,50,190,190,3522167047
No'Mat,593947383,38,48,185,4153667145
Noakyn,51355,30,23,23,2064723306
Nobeau,689359607,43,90,90,-1
Nonsuch,848939005,40,65,65,2796195869
Nooia,750169626,9,8,8,-1
Nordus,2020353543,50,200,200,-1
Norght,1876081989,34,48,48,-1
Nortio-131 - Elite Solo,611054620,60,0,0,-1
Nott,1748542290,17,20,20,-1
Noulmont - Mirror,893531814,40,0,0,-1
Nova Kron,1485830750,42,105,105,-1
Nu'pogo,1121241505,66,1300,1300,4153667145
Nujord Alpha,1943549517,20,20,20,-1
Nujord Beta,1778259122,20,20,20,-1
Nurnias,2075950099,30,26,26,4153667145
Nurt,79917,1,5,5,-1
Nuva,246615176,45,120,120,669838839
Nya Tuum ⇺,580271870,36,27,27,-1
Nygea,861395560,35,28,28,-1
Nyrheimur Alpha,1571296611,40,20,20,-1
Nyrheimur Beta,344908071,40,20,20,-1
Nyrheimur Gamma,1695798898,40,20,20,-1
O'Reigns,1723305147,42,105,105,-1
O'ki - Solo,932389115,45,0,0,-1
Oamitex - Solo,1215823589,45,0,0,-1
Obbia,76295,1,5,5,-1
Obilent,1083794899,17,12,12,-1
Oconel,2036613246,62,1000,1000,3292196998
Ocus,1114669837,16,12,12,-1
Odal,78792,1,5,5,-1
Odin,1017027784,46,150,150,-1
Oisoe - Solo,901412941,45,0,0,-1
Oitalka,1047003826,59,800,900,-1
Ok'Vak,1559744355,32,31,31,4153667145
Ok'cet,900739434,38,61,56,-1
Olaria,1595652073,30,29,29,-1
Olas,441811065,31,26,26,669838839
Olassa,2107547491,33,23,23,2113010081
Oleander - Mirror,1961573192,40,0,0,-1
Olgon-9298,12335161,68,1500,1700,2064723306
Olorun,393236648,39,50,60,-1
Oltomon,1726465367,17,13,13,-1
Omadi,1786356911,52,230,230,669838839
Omana,811548683,54,285,285,-1
Omega Rura,1208199045,60,700,900,-1
Omega System,1081424440,40,0,0,-1
Omega VIII,822340445,25,13,13,-1
Omtose,1478413915,16,13,13,-1
Onix-857 - Elite Solo,1914375311,50,0,0,-1
Opanth,408595350,48,190,195,-1
Ophio,734199742,66,1300,1300,-1
Ophiuchi,1826284918,39,45,56,-1
Opla,81459,20,13,13,-1
Oppidum Frumenti,607109671,30,24,24,669838839
Oppidum Pulvis,1297181644,29,24,24,-1
Ora Leraa,507279929,16,13,13,-1
Orai-12,1848641165,36,50,50,-1
Orasi-18,590506893,50,185,30,-1
Orda-877,1449082944,34,25,25,2113010081
Ordesia,381565017,33,25,25,-1
Orenthis Constellation,1765174377,46,175,175,3522167047
Oriandum,408030755,68,1375,1650,1306860549
Orin-Sigma-9,308300497,60,430,430,-1
Orin-Theta-12,1565249374,59,205,205,-1
Orinthus Prime,1656283831,46,190,190,-1
Orion,42,12,8,8,-1
Orkan Alpha,1970806966,62,1000,1000,3292196998
Orkon,76339,1,5,5,-1
Ormilek,178991091,40,64,64,669838839
Ortek,2042619047,28,22,22,-1
Ortexa,683807779,41,75,75,669838839
Osbor,1270407833,50,195,195,-1
Otima Alpha,699920086,20,20,20,-1
Otima Beta,182486122,20,20,20,-1
Ovala,1034506234,44,110,110,-1
Ovelya,173688948,59,500,500,4153667145
Owlbuth ⇺,1758678837,43,27,27,-1
P'Jem,468245102,29,20,20,2064723306
PDC-81,485528186,45,10,10,-1
Padilac,825330563,48,150,150,-1
Palimer,79577,9,5,5,-1
Panak,1656638301,27,22,22,-1
Pandosia,623553994,31,25,25,-1
Panuq,79634,2,5,5,-1
Parada,270659844,43,75,75,1530685377
Paradane,1924813864,27,21,21,2113010081
Pareleon,564692979,26,16,16,2064723306
Parka,1918573545,30,26,26,669838839
Partridgeous III,2063867514,50,190,190,3522167047
Parturi Alpha,9849804,20,20,20,-1
Parturi Beta,894967478,20,20,20,-1
Pasadoran,265145612,26,18,18,-1
PatLeal,353023304,67,1450,1450,4153667145
Patar,2104047408,50,0,0,-1
Patton,79918,1,5,5,-1
Pauioia - Solo,1272396045,45,0,0,-1
Paynax,1575313498,50,210,210,-1
Pearl,1647441054,63,1100,1100,-1
Peckinpah,1417862936,34,24,24,2143656960
